"GA","BMI","eta_base"
16.6,20.9,-2.74603254852335
16.7,20.9,-2.74305766563493
16.8,20.9,-2.74006588426611
16.9,20.9,-2.73704690546116
17,20.9,-2.73399034203846
17.1,20.9,-2.73088574268731
17.2,20.9,-2.72772262205324
17.3,20.9,-2.72449049450342
17.4,20.9,-2.72117889909438
17.5,20.9,-2.71777743177375
17.6,20.9,-2.71427577749116
17.7,20.9,-2.7106637323072
17.8,20.9,-2.70693123446031
17.9,20.9,-2.70306840014305
18,20.9,-2.69906553980799
18.1,20.9,-2.69491318339377
18.2,20.9,-2.69060220827535
18.3,20.9,-2.68612521382241
18.4,20.9,-2.68147629112307
18.5,20.9,-2.67664986853341
18.6,20.9,-2.67164042440073
18.7,20.9,-2.66644262042127
18.8,20.9,-2.66105150203701
18.9,20.9,-2.65546253028607
19,20.9,-2.64967157409743
19.1,20.9,-2.64367492893223
19.2,20.9,-2.63746935702295
19.3,20.9,-2.63105207516851
19.4,20.9,-2.62442075763961
19.5,20.9,-2.61757357385844
19.6,20.9,-2.61050918604531
19.7,20.9,-2.60322673466948
19.8,20.9,-2.59572586269563
19.9,20.9,-2.5880067303211
20,20.9,-2.58006998615508
20.1,20.9,-2.57191677348613
20.2,20.9,-2.56354875629416
20.3,20.9,-2.55496808680062
20.4,20.9,-2.54617739425992
20.5,20.9,-2.53717980691489
20.6,20.9,-2.52797893097838
20.7,20.9,-2.5185788222515
20.8,20.9,-2.50898399422968
20.9,20.9,-2.49919941324495
21,20.9,-2.48923045804429
21.1,20.9,-2.4790829119045
21.2,20.9,-2.46876296639945
21.3,20.9,-2.45827717936097
21.4,20.9,-2.44763245335915
21.5,20.9,-2.43683603522993
21.6,20.9,-2.42589548338698
21.7,20.9,-2.41481863485868
21.8,20.9,-2.40361359495453
21.9,20.9,-2.39228871457388
22,20.9,-2.38085215892893
22.1,20.9,-2.3693110124056
22.2,20.9,-2.35767227179058
22.3,20.9,-2.34594306386262
22.4,20.9,-2.33413059135092
22.5,20.9,-2.3222420592836
22.6,20.9,-2.3102846726888
22.7,20.9,-2.29826563659464
22.8,20.9,-2.2861921504495
22.9,20.9,-2.27407137782584
23,20.9,-2.26191042154954
23.1,20.9,-2.2497162994173
23.2,20.9,-2.23749590852678
23.3,20.9,-2.22525600325693
23.4,20.9,-2.21300317522663
23.5,20.9,-2.20074381677127
23.6,20.9,-2.18848409707666
23.7,20.9,-2.1762299498243
23.8,20.9,-2.16398704178741
23.9,20.9,-2.15176074085273
24,20.9,-2.13955611269542
24.1,20.9,-2.12737789961996
24.2,20.9,-2.11523048069455
24.3,20.9,-2.10311787285749
24.4,20.9,-2.09104372231416
24.5,20.9,-2.07901126649291
24.6,20.9,-2.06702332811541
24.7,20.9,-2.05508232158424
24.8,20.9,-2.04319022636694
24.9,20.9,-2.03134856713751
25,20.9,-2.01955843349181
10,21,-3.10940226359823
10.1,21,-3.10221661206485
10.2,21,-3.09503096053147
10.3,21,-3.08784530899809
10.4,21,-3.08065965746472
10.5,21,-3.07347400593134
10.6,21,-3.06628835439796
10.7,21,-3.05910270286458
10.8,21,-3.0519170513312
10.9,21,-3.04473139979782
11,21,-3.03754574826444
11.1,21,-3.03036023014554
11.2,21,-3.02317554970936
11.3,21,-3.01599316991514
11.4,21,-3.00881532696785
11.5,21,-3.0016449946255
11.6,21,-2.99448578034512
11.7,21,-2.98734183407389
11.8,21,-2.98021780366291
11.9,21,-2.9731187649075
12,21,-2.96605013184237
12.1,21,-2.95901760610493
12.2,21,-2.95202712255294
12.3,21,-2.94508477302131
12.4,21,-2.93819675619163
12.5,21,-2.93136932666163
12.6,21,-2.92460873405767
12.7,21,-2.91792117914471
12.8,21,-2.91131276740509
12.9,21,-2.9047894543494
13,21,-2.89835701311534
13.1,21,-2.89202099791428
13.2,21,-2.8857866889356
13.3,21,-2.87965907028971
13.4,21,-2.87364280703284
13.5,21,-2.86774219447316
13.6,21,-2.86196113549963
13.7,21,-2.85630313464255
13.8,21,-2.85077126051827
13.9,21,-2.8453681127993
14,21,-2.84009583264552
14.1,21,-2.83495608373584
14.2,21,-2.82995001064256
14.3,21,-2.82507825650864
14.4,21,-2.82034096346968
14.5,21,-2.81573773625042
14.6,21,-2.81126761316872
14.7,21,-2.80692864779269
14.8,21,-2.80271803765752
14.9,21,-2.79863243729156
15,21,-2.79466800108971
15.1,21,-2.79082038275538
15.2,21,-2.78708471705588
15.3,21,-2.78345566014637
15.4,21,-2.77992740701784
15.5,21,-2.7764936784619
15.6,21,-2.77314775037039
15.7,21,-2.76988248768205
15.8,21,-2.76669034502704
15.9,21,-2.76356338153239
16,21,-2.76049330522302
16.1,21,-2.75747148793894
16.2,21,-2.75448897348557
16.3,21,-2.75153652257164
16.4,21,-2.74860463865588
16.5,21,-2.74568358020743
16.6,21,-2.7427633978176
16.7,21,-2.73983396781407
16.8,21,-2.73688501168283
16.9,21,-2.73390612664218
17,21,-2.73088682168452
17.1,21,-2.72781654167318
17.2,21,-2.7246846974277
17.3,21,-2.72148069948928
17.4,21,-2.71819398308849
17.5,21,-2.71481404034694
17.6,21,-2.71133045238833
17.7,21,-2.70773291144723
17.8,21,-2.70401125193614
17.9,21,-2.70015548622161
18,21,-2.69615582093025
18.1,21,-2.69200268217473
18.2,21,-2.68768685327635
18.3,21,-2.68320100369591
18.4,21,-2.67853943081464
18.5,21,-2.67369677340438
18.6,21,-2.66866772022825
18.7,21,-2.66344714339827
18.8,21,-2.65803029877221
18.9,21,-2.65241285780399
19,21,-2.64659089983838
19.1,21,-2.64056093075231
19.2,21,-2.63431992319405
19.3,21,-2.62786530437833
19.4,21,-2.62119495899163
19.5,21,-2.61430726687193
19.6,21,-2.60720110065533
19.7,21,-2.5998758112269
19.8,21,-2.5923312519671
19.9,21,-2.58456779348906
20,21,-2.57658629481777
20.1,21,-2.56838810965758
20.2,21,-2.55997511240419
20.3,21,-2.55134966569486
20.4,21,-2.54251460919977
20.5,21,-2.53347328157756
20.6,21,-2.52422949945685
20.7,21,-2.51478752905456
20.8,21,-2.50515209428192
20.9,21,-2.49532837188674
21,21,-2.48532195103179
21.1,21,-2.47513882540968
21.2,21,-2.46478539701005
21.3,21,-2.45426843408054
21.4,21,-2.44359504960703
21.5,21,-2.43277270084124
21.6,21,-2.42180915661265
21.7,21,-2.41071246436543
21.8,21,-2.39949093982487
21.9,21,-2.3881531442901
22,21,-2.3767073994443
22.1,21,-2.36516077184745
22.2,21,-2.35352020531301
22.3,21,-2.34179277364649
22.4,21,-2.32998562660381
22.5,21,-2.31810591623988
22.6,21,-2.30616079460956
22.7,21,-2.29415741376775
22.8,21,-2.28210292018956
22.9,21,-2.27000442447421
23,21,-2.25786897647435
23.1,21,-2.2457035410134
23.2,21,-2.23351496221579
23.3,21,-2.22130994148722
23.4,21,-2.20909501747332
23.5,21,-2.19687652953625
23.6,21,-2.18466059388854
23.7,21,-2.17245309123847
23.8,21,-2.160259635386
23.9,21,-2.14808554124462
24,21,-2.13593582151625
24.1,21,-2.1238151655321
24.2,21,-2.11172789938717
24.3,21,-2.09967798704646
24.4,21,-2.08766902174213
24.5,21,-2.07570418792928
24.6,21,-2.06378625535633
24.7,21,-2.05191758545262
24.8,21,-2.04010010471242
24.9,21,-2.0283352848365
25,21,-2.01662416244747
10,21.1,-3.10108593901403
10.1,21.1,-3.09398360395046
10.2,21.1,-3.0868812688869
10.3,21.1,-3.07977893382333
10.4,21.1,-3.07267659875977
10.5,21.1,-3.0655742636962
10.6,21.1,-3.05847192863263
10.7,21.1,-3.05136959356907
10.8,21.1,-3.0442672585055
10.9,21.1,-3.03716492344194
11,21.1,-3.03006258837837
11.1,21.1,-3.02296038493728
11.2,21.1,-3.01585900842698
11.3,21.1,-3.00875991105472
11.4,21.1,-3.00166531827352
11.5,21.1,-2.99457819308944
11.6,21.1,-2.98750213220756
11.7,21.1,-2.98044127482311
11.8,21.1,-2.97340025803523
11.9,21.1,-2.96638414688728
12,21.1,-2.95939834466202
12.1,21.1,-2.9524485422449
12.2,21.1,-2.94554066374174
12.3,21.1,-2.93868079023548
12.4,21.1,-2.93187510965576
12.5,21.1,-2.92512986584836
12.6,21.1,-2.91845129768768
12.7,21.1,-2.91184559518673
12.8,21.1,-2.90531885307589
12.9,21.1,-2.89887701611382
13,21.1,-2.89252584668622
13.1,21.1,-2.88627088825254
13.2,21.1,-2.88011741025019
13.3,21.1,-2.87407038603765
13.4,21.1,-2.86813446991916
13.5,21.1,-2.86231394645095
13.6,21.1,-2.85661270777003
13.7,21.1,-2.85103424765475
13.8,21.1,-2.8455816239695
13.9,21.1,-2.84025742563483
14,21.1,-2.83506378305866
14.1,21.1,-2.83000234916798
14.2,21.1,-2.82507425778309
14.3,21.1,-2.82028014129502
14.4,21.1,-2.81562013108742
14.5,21.1,-2.81109382113306
14.6,21.1,-2.8067002348865
14.7,21.1,-2.80243735887939
14.8,21.1,-2.79830228774746
14.9,21.1,-2.79429157241459
15,21.1,-2.79040126367126
15.1,21.1,-2.78662691161643
15.2,21.1,-2.78296354741297
15.3,21.1,-2.77940572361159
15.4,21.1,-2.77594753159884
15.5,21.1,-2.77258258856189
15.6,21.1,-2.76930406678814
15.7,21.1,-2.76610472761188
15.8,21.1,-2.76297692205881
15.9,21.1,-2.75991260565156
16,21.1,-2.75690338281057
16.1,21.1,-2.75394052177142
16.2,21.1,-2.75101496273508
16.3,21.1,-2.74811736280584
16.4,21.1,-2.74523812183799
16.5,21.1,-2.74236739469623
16.6,21.1,-2.73949512836742
16.7,21.1,-2.7366110955748
16.8,21.1,-2.73370491419991
16.9,21.1,-2.73076607785662
17,21.1,-2.72778399193288
17.1,21.1,-2.72474799768758
17.2,21.1,-2.7216474023358
17.3,21.1,-2.71847151281432
17.4,21.1,-2.71520966074925
17.5,21.1,-2.71185123465777
17.6,21.1,-2.70838571205912
17.7,21.1,-2.70480268158344
17.8,21.1,-2.70109187403879
17.9,21.1,-2.69724319818727
18,21.1,-2.69324675705104
18.1,21.1,-2.68909287313833
18.2,21.1,-2.6847722359193
18.3,21.1,-2.68027758482822
18.4,21.1,-2.6756034231562
18.5,21.1,-2.6707445996996
18.6,21.1,-2.66569601324608
18.7,21.1,-2.66045274593218
18.8,21.1,-2.65501026364021
18.9,21.1,-2.64936444784862
19,21.1,-2.64351158792672
19.1,21.1,-2.63744839977595
19.2,21.1,-2.63117206606912
19.3,21.1,-2.62468022404549
19.4,21.1,-2.61797096841607
19.5,21.1,-2.61104288904338
19.6,21.1,-2.60389506858804
19.7,21.1,-2.59652706795965
19.8,21.1,-2.58893895056321
19.9,21.1,-2.58113129703638
20,21.1,-2.57310517642866
20.1,21.1,-2.56486215246897
20.2,21.1,-2.5564043095775
20.3,21.1,-2.54773422041606
20.4,21.1,-2.53885493467936
20.5,21.1,-2.52977000105057
20.6,21.1,-2.52048344618284
20.7,21.1,-2.51099974631762
20.8,21.1,-2.50132383539068
20.9,21.1,-2.49146110017434
21,21.1,-2.48141733985592
21.1,21.1,-2.47119875815255
21.2,21.1,-2.46081196707842
21.3,21.1,-2.45026394490566
21.4,21.1,-2.43956201464472
21.5,21.1,-2.42871384357184
21.6,21.1,-2.41772741054102
21.7,21.1,-2.40661097302096
21.8,21.1,-2.3953730567615
21.9,21.1,-2.38402243307032
22,21.1,-2.37256757980853
22.1,21.1,-2.3610155457346
22.2,21.1,-2.34937322177715
22.3,21.1,-2.33764762885683
22.4,21.1,-2.32584586384475
22.5,21.1,-2.31397502591095
22.6,21.1,-2.30204221422546
22.7,21.1,-2.29005452795834
22.8,21.1,-2.27801906069986
22.9,21.1,-2.2659428701644
23,21.1,-2.25383295331975
23.1,21.1,-2.24169622210451
23.2,21.1,-2.22953946775826
23.3,21.1,-2.21736933880186
23.4,21.1,-2.2051923209961
23.5,21.1,-2.19301470081829
23.6,21.1,-2.18084254159613
23.7,21.1,-2.16868167115304
23.8,21.1,-2.15653765040416
23.9,21.1,-2.14441574137814
24,21.1,-2.13232090389203
24.1,21.1,-2.12025777439224
24.2,21.1,-2.10823062608888
24.3,21.1,-2.09624337006215
24.4,21.1,-2.08429954665936
24.5,21.1,-2.07240228745074
24.6,21.1,-2.0605543092999
24.7,21.1,-2.04875792075132
24.8,21.1,-2.03701499541444
24.9,21.1,-2.02532695210519
25,21.1,-2.01369477456133
10,21.2,-3.09278058529413
10.1,21.2,-3.0857614054055
10.2,21.2,-3.07874222551688
10.3,21.2,-3.07172304562825
10.4,21.2,-3.06470386573962
10.5,21.2,-3.057684685851
10.6,21.2,-3.05066550596237
10.7,21.2,-3.04364632607374
10.8,21.2,-3.03662714618512
10.9,21.2,-3.02960796629649
11,21.2,-3.02258878640786
11.1,21.2,-3.01556973635223
11.2,21.2,-3.00855150249048
11.3,21.2,-3.00153552629296
11.4,21.2,-2.99452402247581
11.5,21.2,-2.98751994330816
11.6,21.2,-2.98052687475821
11.7,21.2,-2.97354894528427
11.8,21.2,-2.96659078124859
11.9,21.2,-2.95965743695762
12,21.2,-2.95275430495723
12.1,21.2,-2.94588706539595
12.2,21.2,-2.93906163164271
12.3,21.2,-2.93228407404355
12.4,21.2,-2.9255605697912
12.5,21.2,-2.91889735199454
12.6,21.2,-2.91230064879108
12.7,21.2,-2.90577663945691
12.8,21.2,-2.89933140798552
12.9,21.2,-2.89297088839865
13,21.2,-2.88670083234513
13.1,21.2,-2.88052677254748
13.2,21.2,-2.87445396770622
13.3,21.2,-2.86848738044291
13.4,21.2,-2.86263165432492
13.5,21.2,-2.85689106317156
13.6,21.2,-2.85126948838294
13.7,21.2,-2.84577041300051
13.8,21.2,-2.84039688415175
13.9,21.2,-2.83515148002031
14,21.2,-2.83003632027722
14.1,21.2,-2.82505304711255
14.2,21.2,-2.82020278360971
14.3,21.2,-2.81548615142283
14.4,21.2,-2.81090327119865
14.5,21.2,-2.80645372617305
14.6,21.2,-2.80213652496475
14.7,21.2,-2.79794958725442
14.8,21.2,-2.79388990507234
14.9,21.2,-2.7899539260341
15,21.2,-2.78613759762189
15.1,21.2,-2.78243636662639
15.2,21.2,-2.77884516090217
15.3,21.2,-2.77535842969166
15.4,21.2,-2.77197016107313
15.5,21.2,-2.76867386892546
15.6,21.2,-2.76546262222775
15.7,21.2,-2.76232907900602
15.8,21.2,-2.75926548697768
15.9,21.2,-2.75626369835705
16,21.2,-2.75331521425633
16.1,21.2,-2.75041119960277
16.2,21.2,-2.74754249128908
16.3,21.2,-2.74469964311125
16.4,21.2,-2.74187295161529
16.5,21.2,-2.73905246835761
16.6,21.2,-2.73622803701679
16.7,21.2,-2.73338932700776
16.8,21.2,-2.7305258529038
16.9,21.2,-2.72762700501048
17,21.2,-2.72468208540746
17.1,21.2,-2.72168033204536
17.2,21.2,-2.71861094883097
17.3,21.2,-2.71546313939276
17.4,21.2,-2.71222613204858
17.5,21.2,-2.70888921200731
17.6,21.2,-2.7054417534799
17.7,21.2,-2.70187324178822
17.8,21.2,-2.69817330443202
17.9,21.2,-2.69433174686513
18,21.2,-2.69033856880143
18.1,21.2,-2.68618398944085
18.2,21.2,-2.68185860467306
18.3,21.2,-2.67735522374861
18.4,21.2,-2.67266855535616
18.5,21.2,-2.66779365779354
18.6,21.2,-2.66272563934988
18.7,21.2,-2.65745979166323
18.8,21.2,-2.65199179011733
18.9,21.2,-2.64631772569213
19,21.2,-2.64043409725841
19.1,21.2,-2.63433783021908
19.2,21.2,-2.62802631674843
19.3,21.2,-2.6214974035872
19.4,21.2,-2.61474939494787
